上传音频文件,选择模型大小,选择要保存的结果格式（可多选）,保存位置（文件夹路径）,选择运行设备,转写文本输出,timestamp
,base,[],                                         ,CPU,,2025-05-19 22:20:17.664953
,base,[],                                         ,CPU,,2025-05-19 22:20:23.256431
